"Reference","Value","Footprint","QUANTITY"
"C1,C2","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2"
"C3-C27","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","25"
"D1","12V_GREEN","LED_SMD:LED_1206_3216Metric","1"
"D2","-12V_RED","LED_SMD:LED_1206_3216Metric","1"
"IC1,IC2","AD633","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2"
"J1","Conn_01x14_Pin","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","1"
"J2","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1"
"Q1","PMV250EPEA","Package_TO_SOT_SMD:SOT-23_Handsoldering","1"
"Q2","PMV450ENEA","Package_TO_SOT_SMD:SOT-23_Handsoldering","1"
"R1,R2","5k6","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2"
"R3,R4,R8-R10,R12,R14,R15,R19,R39,R40,R44-R46,R48,R50,R51,R55","100k (0.1p)","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","18"
"R5,R13,R41,R49","50k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4"
"R6,R16,R25,R28,R42,R52","510k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","6"
"R7,R17,R43,R53","470","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4"
"R18,R54","25k (0.1p)","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2"
"R20,R56","3k9","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2"
"R21,R24,R27,R32,R33,R35-R37","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","8"
"R22,R26,R31,R34","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4"
"R23,R29","15k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2"
"R30,R38","4k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2"
"U1,U2","VCAN16A2","analog_computing:VCAN16A2-03S-E3-08","2"
"U3,U6,U11,U14","DG419BDY-E3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","4"
"U4,U5,U9,U12,U13","TLE2074IDWR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","5"
"U7","LM339DR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1"
"U8","CD40106BM96","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1"
"U10","LM4040, 10V","Package_TO_SOT_SMD:SOT-23","1"
